#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 938 2 9 10 1.5713486622 1 0
1 939 2 9 10 1.4207607157 1 0
1 940 2 9 10 2.5898680857 1 0
1 941 2 9 10 0.6223287951 1 0
1 942 2 9 10 0.4448960987 1 0
1 943 2 9 10 0.3242669224 1 0
1 944 2 9 10 0.26044132 1 0
1 945 2 9 10 0.715534697 1 0
1 946 2 9 10 0.5276183192 1 0
1 947 2 9 10 0.3058728719 1 0
1 948 2 9 10 0.0502984036 1 0
1 949 2 9 10 0.3878415646 1 0
1 950 2 9 10 0.3998414725 1 0
1 951 2 9 10 0.270560915 1 0
1 954 2 9 10 0.1156333866 1 0
1 955 2 9 10 0.1223678791 1 0
1 956 2 9 10 0.0202035259 1 0
1 961 2 9 10 0.0062707395 1 0
1 962 2 9 10 0.0020902476 1 0
1 963 2 9 10 0.0156810539 1 0
1 964 2 9 10 0.0470431562 1 0
1 974 2 9 10 0.0756696582 1 0
1 975 2 9 10 3.5149879385 1 0
1 976 2 9 10 10.3179571067 1 0
1 977 2 9 10 6.4457642142 1 0
1 978 2 9 10 21.3810802239 1 0
1 979 2 9 10 20.9062843728 1 0
1 980 2 9 10 5.0213809764 1 0
1 981 2 9 10 6.4931725897 1 0
1 982 2 9 10 7.3828510674 1 0
1 983 2 9 10 6.1395734343 1 0
1 984 2 9 10 2.7633386114 1 0
1 985 2 9 10 1.2263923105 1 0
1 986 2 9 10 1.696416035 1 0
1 987 2 9 10 1.8288298718 1 0
1 988 2 9 10 1.6236311236 1 0
1 989 2 9 10 10.0181590128 1 0
1 990 2 9 10 6.1278292339 1 0
1 991 2 9 10 3.4322088582 1 0
1 992 2 9 10 1.9313081356 1 0
1 993 2 9 10 0.4426396694 1 0
1 994 2 9 10 0.6904656573 1 0
1 995 2 9 10 0.5429192267 1 0
1 999 2 9 10 0.0011312842 1 0
1 1000 2 9 10 0.0033938527 1 0
1 1001 2 9 10 0.000428654 1 0
1 1002 2 9 10 0.0001428847 1 0
1 1005 2 9 10 0.0034944299 1 0
1 1006 2 9 10 1.8762317737 1 0
1 1007 2 9 10 14.2488332386 1 0
1 1008 2 9 10 37.1212866553 1 0
1 1009 2 9 10 41.6561987898 1 0
1 1010 2 9 10 52.0910368549 1 0
1 1011 2 9 10 49.5087693223 1 0
1 1012 2 9 10 33.90942856 1 0
1 1013 2 9 10 26.6921831263 1 0
1 1014 2 9 10 17.2407235928 1 0
1 1015 2 9 10 10.0692897118 1 0
1 1016 2 9 10 5.1778647597 1 0
1 1017 2 9 10 9.4635058355 1 0
1 1018 2 9 10 11.9740188391 1 0
1 1019 2 9 10 10.5767556952 1 0
1 1020 2 9 10 5.2717196406 1 0
1 1021 2 9 10 6.8760863914 1 0
1 1022 2 9 10 7.8140417867 1 0
1 1023 2 9 10 7.4548861195 1 0
1 1024 2 9 10 5.7986086002 1 0
1 1025 2 9 10 0.8420462234 1 0
1 1026 2 9 10 0.8154364655 1 0
1 1027 2 9 10 0.8023624785 1 0
1 1028 2 9 10 0.8028248018 1 0
1 1029 2 9 10 1.3456409903 1 0
1 1030 2 9 10 1.542706192 1 0
1 1031 2 9 10 1.6857502295 1 0
1 1032 2 9 10 1.774772024 1 0
1 1033 2 9 10 0.8692024616 1 0
1 1034 2 9 10 0.2897342258 1 0
1 1035 2 9 10 0.6708069339 1 0
1 1036 2 9 10 2.0124213413 1 0
1 1037 2 9 10 0.7135667207 1 0
1 1038 2 9 10 0.5065724099 1 0
1 1039 2 9 10 0.4368063029 1 0
1 1040 2 9 10 0.5042679141 1 0
1 1041 2 9 10 1.0079415511 1 0
1 1042 2 9 10 1.2660194114 1 0
1 1043 2 9 10 1.1686369546 1 0
1 1044 2 9 10 0.7157925623 1 0
1 1045 2 9 10 0.9818486027 1 0
1 1046 2 9 10 0.9222434138 1 0
1 1047 2 9 10 0.5949605463 1 0
1 1050 2 9 10 0.1705733712 1 0
1 1051 2 9 10 0.1705733712 1 0
1 1070 2 9 10 0.0475840853 1 0
1 1071 2 9 10 6.9646776911 1 0
1 1072 2 9 10 20.751279269 1 0
1 1073 2 9 10 7.6165752215 1 0
1 1074 2 9 10 6.3545888668 1 0
1 1075 2 9 10 4.5072930335 1 0
1 1076 2 9 10 2.0746888006 1 0
1 1077 2 9 10 5.7643200665 1 0
1 1078 2 9 10 13.13663534 1 0
1 1079 2 9 10 17.6274622168 1 0
1 1080 2 9 10 19.2368222757 1 0
1 1081 2 9 10 21.1144917294 1 0
1 1082 2 9 10 20.3491118838 1 0
1 1083 2 9 10 20.2337845908 1 0
1 1084 2 9 10 20.76852064 1 0
1 1085 2 9 10 44.3518623229 1 0
1 1086 2 9 10 20.2695674486 1 0
1 1087 2 9 10 7.0037189306 1 0
1 1088 2 9 10 4.5543075979 1 0
1 1089 2 9 10 0.7393980275 1 0
1 1090 2 9 10 1.3992559357 1 0
1 1091 2 9 10 1.1527895668 1 0
1 1095 2 9 10 0.00077398 1 0
1 1096 2 9 10 0.0023219401 1 0
1 1097 2 9 10 0.0013166085 1 0
1 1098 2 9 10 0.0004388696 1 0
1 1102 2 9 10 1.3970122917 1 0
1 1103 2 9 10 5.1521203071 1 0
1 1104 2 9 10 11.2653208096 1 0
1 1105 2 9 10 29.2007486533 1 0
1 1106 2 9 10 38.0459010274 1 0
1 1107 2 9 10 37.3019542127 1 0
1 1108 2 9 10 26.9689729451 1 0
1 1109 2 9 10 26.1592488976 1 0
1 1110 2 9 10 16.2057612098 1 0
1 1111 2 9 10 9.4387173188 1 0
1 1112 2 9 10 5.8581334085 1 0
1 1113 2 9 10 8.1630932338 1 0
1 1114 2 9 10 10.702241155 1 0
1 1115 2 9 10 9.7805938524 1 0
1 1116 2 9 10 5.3981567206 1 0
1 1117 2 9 10 2.1297166105 1 0
1 1118 2 9 10 2.1630421953 1 0
1 1119 2 9 10 2.1866541341 1 0
1 1120 2 9 10 2.2005502691 1 0
1 1121 2 9 10 0.053105958 1 0
1 1122 2 9 10 0.9890688314 1 0
1 1123 2 9 10 1.2383296402 1 0
1 1124 2 9 10 0.8008875752 1 0
1 1125 2 9 10 0.3524804083 1 0
1 1126 2 9 10 0.4523162539 1 0
1 1127 2 9 10 0.5837272213 1 0
1 1128 2 9 10 0.7467137419 1 0
1 1129 2 9 10 0.491521977 1 0
1 1130 2 9 10 0.163840659 1 0
1 1131 2 9 10 0.0203459021 1 0
1 1132 2 9 10 0.0610377439 1 0
1 1133 2 9 10 0.2290458408 1 0
1 1134 2 9 10 0.0980506408 1 0
1 1135 2 9 10 0.1962312393 1 0
1 1136 2 9 10 0.5235872586 1 0
1 1137 2 9 10 1.6278438228 1 0
1 1138 2 9 10 2.4347442991 1 0
1 1139 2 9 10 2.5612811805 1 0
1 1140 2 9 10 2.0074539275 1 0
1 1141 2 9 10 0.8427378203 1 0
1 1142 2 9 10 4.0973195582 1 0
1 1143 2 9 10 3.8430433231 1 0
1 1144 2 9 10 0.0799118123 1 0
1 1158 2 9 10 5.2181133268029E-005 1 0
1 1159 2 9 10 5.2181133268029E-005 1 0
1 1167 2 9 10 3.4747663448 1 0
1 1168 2 9 10 10.4243022711 1 0
1 1169 2 9 10 3.0711073328 1 0
1 1170 2 9 10 4.4148186491 1 0
1 1171 2 9 10 5.2371387157 1 0
1 1172 2 9 10 5.5380675328 1 0
1 1173 2 9 10 5.6405932696 1 0
1 1174 2 9 10 10.6206413499 1 0
1 1175 2 9 10 25.1820526598 1 0
1 1176 2 9 10 49.3248002258 1 0
1 1177 2 9 10 73.1924249267 1 0
1 1178 2 9 10 65.324458001 1 0
1 1179 2 9 10 64.0270933888 1 0
1 1180 2 9 10 69.3004389835 1 0
1 1181 2 9 10 83.1588112746 1 0
1 1182 2 9 10 30.0904702885 1 0
1 1183 2 9 10 3.2335560047 1 0
1 1184 2 9 10 2.5880274237 1 0
1 1185 2 9 10 0.0073839678 1 0
1 1186 2 9 10 0.0024613222 1 0
1 1193 2 9 10 0.0200102132 1 0
1 1194 2 9 10 0.0066700747 1 0
1 1198 2 9 10 6.0269866346 1 0
1 1199 2 9 10 11.5220208707 1 0
1 1200 2 9 10 16.485091919 1 0
1 1201 2 9 10 20.9587691343 1 0
1 1202 2 9 10 25.4443793636 1 0
